10000 120000
5282 457 13
6361 2540 7
4603 9939 8
7289 9856 8
8086 3750 3
6536 7612 20
1161 8809 16
4162 573 3
2245 2627 5
6948 7803 14
6334 8979 1
9697 1817 6
8689 8137 3
957 5107 20
7655 5664 18
1294 5099 16
1392 4418 5
8745 369 17
2443 9728 20
5061 4847 15
4626 7100 13
2808 2400 15
7707 9331 11
6234 2228 7
7815 78 4
2072 5017 10
5884 5514 19
6257 8969 11
9090 308 8
5007 9394 12
3097 8573 7
9666 7965 7
439 1759 3
8111 9976 8
5521 3780 12
3075 5705 4
5476 6365 2
8395 4051 15
3026 7050 16
4439 5475 3
2375 2735 9
4336 5597 6
2904 3332 17
8572 3801 17
4852 49 19
9704 6373 10
957 5288 6
3419 9791 17
377 8364 18
2866 3422 19
7685 705 14
4528 8862 6
4488 671 14
2804 5832 3
2461 8199 10
7793 1986 1
4920 3300 8
7480 576 16
9913 4532 9
7554 7799 10
353 9095 5
8684 1409 9
4320 2186 17
5182 3129 10
3594 9320 11
8588 2622 14
4365 9320 20
8346 9566 20
7113 25 12
3459 307 19
5116 6100 12
9723 4681 13
7327 4827 19
3687 8591 10
215 8267 17
6031 596 12
6517 4618 1
7564 5048 1
7315 5612 6
8945 8690 3
3215 2480 9
7799 1299 3
2130 92 19
4654 5063 7
1027 5263 4
8859 5271 20
6511 4970 10
4108 2654 6
6158 6848 19
1896 5238 20
7097 843 4
5681 4063 3
3643 5536 7
5288 3086 5
485 6089 4
4745 3633 5
9513 8866 16
5932 4522 4
2427 6413 4
841 8091 1
9473 5287 9
4300 5544 10
9156 9492 16
3433 3706 1
7833 2545 12
9557 9838 13
3974 9381 15
2198 6231 1
2704 5711 1
1378 5815 10
7014 6377 12
9228 4415 5
4093 9067 14
3990 1468 10
9904 5372 10
5514 4135 14
5886 1174 19
360 2329 16
9196 2425 12
5048 9604 12
6675 7372 19
3797 790 18
567 763 17
7675 2652 17
941 4636 8
6605 3558 20
2516 1142 16
1616 3 2
2783 1256 15
6460 9751 11
375 4621 16
3262 1708 18
8071 3218 17
4706 9934 7
2758 5108 11
1581 4467 7
7729 9951 18
1316 7910 8
1923 6718 17
6829 3085 18
7584 2396 7
8521 1102 19
8385 9578 20
4970 7844 8
6033 3703 4
5626 6309 20
4425 3151 6
4898 1994 16
4199 688 15
8153 5962 20
224 9407 16
3568 1344 9
4869 3702 20
9354 8444 4
2609 1296 19
10 2954 8
2355 630 2
4600 4291 18
4298 174 16
4926 1162 18
3816 5573 14
1015 2194 6
1645 7956 8
6164 5150 7
4376 2055 4
8592 8482 14
4844 4259 14
2725 8369 15
5091 223 12
7954 6019 6
4713 9762 2
240 2930 14
5618 2686 3
7563 3337 13
7936 9307 7
324 1788 4
471 5185 7
6015 7145 3
6842 5391 9
5713 9706 16
7159 9050 15
3496 3511 17
5704 3432 5
4129 4925 10
6735 8217 1
9444 2790 17
7442 4277 5
940 9670 20
9128 7227 3
4373 6179 8
7570 3596 17
8080 3521 9
5488 9575 17
4794 2150 6
1529 7232 9
3671 5901 4
8592 8865 17
4563 7342 7
2372 9594 20
7562 2094 4
7995 8911 11
9066 6976 15
4195 8988 10
8011 6659 6
6978 4065 17
6374 3428 16
3744 2217 1
8312 1922 17
8329 6373 3
9985 549 10
5600 473 19
5299 8533 18
3085 8592 5
7298 6027 17
3872 3937 4
3366 9497 3
3677 7392 14
8158 4062 15
4965 5352 17
9211 8827 13
2377 9254 8
1999 4897 16
5657 4732 19
370 1126 2
7908 9 11
4095 6752 18
9878 5243 14
4515 8484 18
1770 8045 6
6999 6480 18
426 999 11
9754 4535 15
806 4362 1
6440 4746 9
7167 5801 13
2794 8299 13
7787 8976 16
4996 4588 8
8524 431 2
2178 7044 11
7492 3183 17
4189 8484 3
597 1705 18
3748 5431 2
9715 9725 15
1315 9026 1
9507 1637 8
2956 3727 15
2075 6729 20
3012 3521 6
4584 6643 11
1813 8677 12
5858 6596 13
7876 1385 19
7594 1275 17
8911 435 11
6654 5703 12
2900 6268 19
7618 7683 15
6708 3967 8
5555 1046 9
6440 3875 18
1033 2901 20
2737 9128 4
1439 5403 6
1833 6301 17
4759 1733 3
1657 3943 19
3482 3448 14
3249 1435 2
6785 4265 13
7101 1036 17
3653 8012 1
9838 7891 11
118 4170 15
8592 4619 17
2294 7662 11
4086 9416 18
2509 4880 10
9327 2314 8
4421 1198 18
4770 5514 3
8229 3443 13
805 6865 9
5278 1168 18
4942 9527 2
273 100 4
7443 2390 2
9020 524 16
3668 5157 4
4167 530 16
4966 1787 3
7606 233 15
2033 5123 17
8749 6976 14
4106 1789 15
4690 4576 17
4392 8436 6
9048 620 20
7828 5906 20
635 2564 9
2171 4447 12
9898 9156 19
4214 2407 20
6487 9670 2
3472 4238 13
8830 4570 11
4851 6909 14
7361 3422 3
729 3129 18
3402 8462 14
154 4359 4
9512 3853 17
8836 758 18
6169 7299 5
9174 4234 18
6234 775 19
7002 2855 3
1803 4563 4
987 8297 20
5609 8294 20
668 4424 6
5027 9524 9
8933 8419 13
3841 5041 9
5039 2012 6
6979 8981 19
6002 5330 8
4651 2948 6
625 5708 10
9903 9098 1
7976 8281 20
4473 7184 14
3820 2387 16
9844 9690 7
9560 5538 16
2166 1274 8
3680 9920 1
1259 2099 9
3337 2394 10
2321 1385 20
1110 1 3
7591 3212 4
5817 131 8
1502 7937 12
167 8065 18
2016 6641 17
6726 2077 9
3282 1541 7
6388 5494 15
9235 3396 20
9123 3001 17
4529 2032 16
3879 4257 20
3920 8951 2
7805 7555 12
5406 5659 9
4398 7179 17
1062 4494 20
4948 5698 2
486 2370 2
4961 5088 9
3638 74 5
2127 295 16
3233 1162 13
3169 2915 20
3449 7849 18
9824 1255 8
9182 997 12
4089 1094 8
2680 6914 17
3374 5357 3
8146 6541 18
8234 9357 15
3712 6021 11
7641 5096 15
7077 7286 19
7734 6470 4
7814 6759 7
1344 4389 5
8449 1685 4
8199 1310 3
7638 2900 5
4182 9042 20
8112 8806 3
3665 6075 19
1451 1429 16
9402 9960 19
3289 3731 4
9706 2458 11
7379 6217 4
4861 9291 18
9407 3912 4
146 3629 16
7194 5465 16
8998 9304 7
4430 8987 19
2822 6459 13
2728 4701 20
8537 1011 10
4155 897 17
3255 5836 10
896 3154 7
3774 2547 3
7727 291 13
6769 2711 12
1679 2533 16
3798 8579 15
5128 1175 19
6158 7570 11
87 8018 14
9343 2495 14
68 1171 1
6464 1901 1
2463 5326 19
7248 9168 15
3171 2564 9
5078 7572 11
1968 5259 17
3880 5517 7
5087 2340 18
2607 8727 14
1237 4642 9
9513 3031 16
4083 1841 12
2706 7439 10
9783 7315 10
7737 2537 2
3502 162 2
3463 1096 20
7467 7248 20
5408 8497 12
8378 2956 11
2583 4381 10
1921 2385 11
933 151 9
9125 9354 1
22 9069 9
9427 409 6
2123 4400 2
3603 2738 19
3369 5553 8
7855 5310 6
2145 1158 9
5511 9052 13
7003 3598 19
2442 7854 17
8126 1599 20
5668 1622 15
4691 6341 2
587 5605 3
9059 6031 3
5628 9370 18
2072 7549 15
7944 276 16
1938 6340 19
764 9321 7
6477 834 16
6280 5476 15
485 7525 12
4363 1288 3
8079 6228 3
6622 5904 3
6945 7695 7
5157 1552 11
6547 9622 17
7349 1593 13
8832 1301 1
9184 6988 2
4358 1930 5
5685 3228 6
469 3307 9
8050 9250 8
725 3790 14
1610 5862 12
8385 1526 16
8837 332 5
8564 4253 19
5780 7760 8
284 6218 15
3393 6024 16
835 8269 3
7480 9455 9
4984 6569 15
6236 3795 14
674 792 18
5369 6538 16
471 9644 5
7256 476 16
2141 6801 18
9979 1911 15
1220 3048 9
3153 5964 9
1916 1613 8
6557 8184 5
7622 9176 3
8714 1258 16
1081 8051 14
1994 2423 14
745 3226 12
971 7317 19
2877 4298 6
5923 1450 8
1263 1984 20
9090 5987 13
8462 9126 18
5075 8040 6
8699 156 6
3291 1470 14
7831 2695 3
520 8993 15
837 2831 14
341 4966 8
5298 4502 12
5971 5364 11
8337 7431 3
5962 2632 1
2985 5572 11
6163 5155 3
2530 1004 4
786 2406 12
2016 5065 15
6139 489 19
2035 6191 13
381 376 2
8904 7198 13
9845 2901 18
9518 5544 19
4004 3783 11
2373 4479 14
8746 7799 9
8269 3985 1
4419 4690 14
3015 1753 11
7161 4015 16
4549 2906 11
637 65 10
5230 7316 15
7112 5102 2
6891 4867 20
5876 9870 18
6479 2550 13
5379 1420 7
918 4809 16
5451 1388 20
4908 476 18
6135 6161 18
9611 326 12
4163 839 14
3209 9997 18
4995 2088 14
7999 3873 13
3014 3570 2
9073 6741 15
8547 4470 2
3679 9782 12
4363 1288 5
3823 1827 12
2801 7873 17
8835 4314 9
6335 2114 7
2881 1799 16
2754 7892 17
5704 3447 4
4436 5182 17
4224 7172 19
4994 8760 5
4293 4423 1
1649 4200 8
6627 6038 6
1812 3477 6
3773 1143 12
8670 3898 18
5625 5912 3
7584 7838 4
1898 9267 8
1298 1094 15
3630 2589 4
2082 2658 12
9314 6801 17
7874 1740 3
1165 2352 4
6388 6103 4
5643 2149 12
2113 4830 15
2157 8482 4
3233 8538 15
4466 9592 11
7655 1625 1
4591 6408 20
6286 26 6
3729 3579 7
5303 982 1
3307 4519 5
1886 780 4
7159 1143 2
4793 7734 18
6867 3509 12
4906 7120 7
8696 3569 19
1321 9636 18
5224 7414 14
6978 8696 4
8205 2789 5
9506 3227 2
561 5959 12
2123 7169 6
238 2762 19
8883 9168 2
899 6915 2
1214 8563 11
5987 5477 6
7700 6994 14
5875 8375 11
5810 7867 10
2754 8949 16
7517 5909 10
5438 508 3
2479 6641 4
9946 6513 5
5596 4790 12
2978 2425 8
3351 3468 3
2549 1336 5
1480 65 20
6238 3690 9
5562 3385 6
9140 9181 14
6911 3782 3
5789 5530 5
7677 3187 12
2717 8982 13
9697 7105 5
5817 4336 12
5263 8677 19
3639 6649 7
4815 5136 10
3827 3073 15
3281 9203 4
1021 683 4
5099 2678 8
7767 1114 13
7177 1935 17
6904 717 15
6741 5094 20
6421 4688 20
4890 1552 20
6079 8205 15
9864 1939 19
290 478 2
8698 6262 13
9857 2141 3
8919 4700 20
997 6547 6
6633 3601 6
1611 4075 5
9183 7149 4
7639 5613 2
8242 6168 1
2092 278 20
770 9225 17
6858 8654 10
4488 1517 18
9310 2080 19
1605 3307 8
6771 9010 11
983 3590 12
9159 8878 6
8175 3010 6
2091 8145 10
9598 3631 19
1748 1344 5
5479 8788 6
4695 2847 17
5597 4068 16
3294 3622 5
4385 339 17
1360 2198 11
7 8051 9
5982 7272 15
2780 708 15
9765 9365 5
5902 6614 16
9621 3801 19
1043 8199 6
5588 7056 1
703 6519 19
9742 8097 14
9159 2152 18
9073 988 15
2914 2565 10
4716 845 4
8829 427 8
9126 4989 7
9767 2939 2
39 8348 8
5185 958 19
5633 6357 12
6070 8744 1
8601 2576 3
2911 9856 5
4196 5603 4
8284 7922 6
3999 4598 12
4066 2934 19
6334 3134 5
1751 4092 15
6482 6347 7
1251 8582 13
9183 3765 13
2182 6911 6
4589 4132 5
679 7285 13
6305 2349 11
1031 7037 6
5344 1217 11
3085 9666 14
859 30 13
6869 6313 16
3307 1030 11
7484 2045 1
6824 4322 14
9237 7835 2
4654 143 15
3021 2425 16
5373 3 20
7381 9112 11
8069 5943 6
1042 1526 7
5439 3176 11
5096 6631 16
1593 8731 5
8522 9427 1
6667 6468 5
5769 7606 3
7240 4329 10
9528 5929 3
7832 8243 18
1027 68 10
8414 7800 9
72 9802 12
1664 4554 16
5874 2720 3
2565 9244 12
292 6768 13
1124 5362 17
993 4599 12
3488 863 15
33 6938 5
3221 5448 17
8472 9299 11
9757 1478 5
3434 280 17
3640 12 15
9113 647 4
5360 8951 16
8398 3055 13
3802 9212 4
4574 5088 10
6051 5339 11
9506 9775 7
6234 1205 15
2393 1039 3
8083 5004 1
4798 4250 17
3900 7470 8
529 2825 7
6734 2629 19
4741 2071 7
7313 1801 3
5901 2151 2
544 2666 20
6651 1916 6
1085 9471 2
7192 5619 15
1780 235 2
912 2402 8
