3000 30000
1612 637 3
981 720 9
970 2978 4
1844 2125 5
2229 1471 1
472 35 17
153 202 5
1768 1725 20
2737 1992 15
2717 2989 6
2226 946 13
1629 1365 5
59 2496 8
1556 2321 11
1426 2252 13
1580 2961 7
2090 41 15
411 2135 4
1485 109 18
1060 2255 1
2931 56 15
1740 46 19
2015 544 4
370 767 13
1990 1645 20
717 1941 12
1724 1789 18
2458 1738 4
740 2133 1
2270 353 2
641 1785 5
2676 1174 16
1475 1471 6
2660 1579 18
485 2175 20
547 587 17
2423 132 11
163 1400 15
2208 396 10
1895 2486 19
1631 873 2
1458 2365 6
1118 2441 12
2547 1792 18
872 1550 9
2224 1279 8
2127 1592 17
2569 2689 12
1072 2105 15
2717 2924 6
1943 2536 3
2913 326 20
2306 845 3
2451 2024 16
1277 1853 7
1969 1252 11
530 2797 8
538 2238 13
347 1113 6
128 1361 13
2333 494 8
2842 2730 3
657 951 16
619 918 10
2328 2832 15
1395 1929 11
157 501 2
193 1242 6
1683 1717 15
920 2477 3
780 1136 20
1323 2894 20
1920 2859 15
1018 2984 15
2334 531 16
1459 865 6
1388 1636 1
809 2083 1
1985 2530 18
1886 1264 3
2346 1182 5
412 474 1
1748 1299 8
2564 1516 2
1928 1581 15
1777 1695 16
2999 2931 18
988 1663 19
2600 1749 17
2368 976 2
1132 349 13
606 820 15
2308 756 15
2137 2936 7
1835 839 18
2009 26 16
1910 1548 12
2206 2358 3
2431 1191 18
2820 2557 13
434 87 15
987 2957 7
729 715 3
544 442 8
1817 1627 10
1169 2080 15
2319 461 4
818 1685 14
1084 182 6
2762 832 6
1299 284 19
2095 305 4
755 1916 16
2790 2053 9
1770 1671 6
2353 139 19
752 515 8
1219 862 7
703 2509 1
2487 2547 6
372 648 13
1451 2543 4
2859 960 6
2977 2345 12
1268 2307 10
71 1789 16
2228 2719 13
969 3000 10
1496 2278 12
961 2639 19
2767 609 8
686 1273 8
122 2660 12
2511 2035 3
2579 711 15
898 1998 15
614 1373 19
2427 1819 1
2444 1723 6
860 2009 11
36 1798 9
1071 2516 3
1273 1548 16
865 361 6
1870 126 8
1749 203 19
2523 235 3
516 2673 16
2999 227 10
1196 2483 1
2314 2302 14
892 2238 7
129 1500 6
2607 518 17
1789 939 19
821 1906 11
2834 1208 8
351 1806 16
2382 2913 3
1288 1058 15
68 2860 19
1592 1447 10
416 89 11
212 280 8
1094 274 13
313 485 1
2695 1873 17
2342 542 20
1252 325 18
2204 333 14
2722 1920 12
621 1464 15
2222 1234 2
2773 362 4
2527 1412 2
1047 396 13
1817 425 13
1951 517 2
1995 2161 20
1896 2529 7
816 2194 8
1465 2856 5
525 1748 20
225 1801 15
2893 1891 11
1312 1529 8
1166 677 18
2542 21 8
2217 742 14
2646 127 12
2775 2019 4
1192 180 20
1572 40 13
1439 291 8
1599 200 17
2466 1968 9
531 2660 4
244 397 15
1535 837 17
1071 157 3
372 1295 4
2960 697 8
2885 1560 16
2057 534 12
1865 837 4
2255 2941 20
1937 114 8
1333 2093 14
590 1721 20
1886 633 14
1144 2133 17
98 1271 5
1351 195 3
326 2931 12
2850 906 8
2490 99 13
2082 922 4
530 780 18
1178 2920 16
2815 2997 19
285 1529 19
207 860 7
2322 2304 7
1127 1443 8
2661 766 19
2586 558 17
272 1284 12
1067 76 12
2036 2615 2
1149 648 2
961 2528 10
754 879 1
2549 1462 15
83 2203 17
1120 48 8
1891 1023 4
1166 1500 20
866 2074 20
2828 2753 3
1000 2193 5
1218 1082 19
1736 1922 15
2940 204 6
638 2488 11
833 1666 3
1630 2894 10
2471 780 16
1817 2430 7
1565 1028 17
121 1908 13
68 1936 13
1501 2975 4
755 1358 5
775 793 4
963 707 16
2424 2139 20
60 1980 19
845 1237 6
1590 1761 1
532 71 11
1973 1733 10
1287 274 10
2728 2876 20
1729 1098 6
642 903 5
1713 1808 17
1585 1956 13
2440 399 1
2979 2873 5
1018 2766 16
2675 589 14
1282 924 5
1825 231 8
2016 445 18
739 2281 18
16 1974 3
1817 2539 3
2413 2990 11
831 158 20
2204 231 17
635 231 15
2929 2973 3
2537 2434 18
156 2765 19
2166 520 5
545 1225 18
2622 914 8
48 2840 12
811 1732 15
381 2811 1
1078 2346 8
2626 1872 12
355 300 18
1543 2512 19
1680 2390 12
1874 736 9
2047 2166 5
2702 2931 10
1921 31 7
2052 323 17
804 2474 8
722 1179 20
329 2905 9
2322 2369 14
1607 69 18
2729 557 18
1499 849 7
307 1239 14
556 1139 12
2624 1383 10
2951 2924 15
1646 2825 12
774 405 4
1390 314 11
2221 1730 5
1008 965 12
2987 2219 2
2402 1802 10
1240 1616 14
1865 1005 15
2047 2275 6
2980 12 1
1028 812 10
1318 840 1
2234 40 11
1152 2564 16
2022 2931 13
2616 1357 11
1119 2127 11
590 2489 18
1559 1470 14
2579 406 10
2835 2482 13
1790 2590 7
1940 2451 13
961 2509 10
1640 288 5
2129 183 3
2846 672 4
1917 2486 1
1309 1917 10
939 1261 13
2385 1073 5
2683 1945 11
2819 1387 18
412 1783 2
51 267 14
1349 2089 11
2205 2779 14
2749 1070 8
531 2609 10
1937 423 13
451 533 20
2503 2805 3
955 2538 5
295 1244 16
236 2611 12
2919 218 6
2860 389 11
2784 519 19
1560 653 3
2053 109 16
2549 940 2
352 2099 2
1647 2006 16
116 2379 2
855 2206 5
2653 1660 2
2488 68 5
387 1926 14
928 1081 8
1144 1679 14
592 2669 12
1729 1916 14
2250 2259 7
640 291 11
686 1213 16
1887 2417 18
768 441 11
814 223 16
1048 1981 6
903 2859 4
1821 136 17
812 1193 19
2485 374 13
2146 1577 5
2160 2369 17
768 1417 15
16 675 19
2487 1304 5
2608 1522 19
1845 2448 14
2436 1029 10
2903 1099 13
2943 1278 7
2657 2408 7
2433 1985 16
205 1166 13
519 2022 6
865 1601 9
2291 1405 14
2355 1662 2
654 840 8
1024 510 7
2074 872 7
2487 2063 14
1543 2149 12
2512 1986 4
955 1967 6
1659 907 6
2407 73 19
8 2338 8
897 1252 17
1251 1491 13
545 1659 2
1356 952 13
1656 2729 14
1418 1324 2
1711 1500 20
540 537 12
1431 2995 13
2621 585 17
708 1036 8
1923 2509 7
465 707 6
393 488 7
179 1400 16
2648 1248 12
431 1743 14
1559 467 4
2886 1071 15
2353 625 12
2412 630 16
1941 2620 15
2892 1059 17
1579 23 6
2294 2032 19
1032 1268 4
2171 2907 12
255 1779 13
1261 2876 12
1941 737 10
1013 2239 10
903 1830 5
1451 2412 16
750 355 16
2531 405 14
599 2584 10
1552 2516 1
449 1819 18
2643 1672 13
976 1122 9
55 1984 13
77 1848 13
1278 297 15
1022 697 7
225 819 13
757 1759 8
67 2068 3
417 1816 16
2253 404 13
838 2493 11
2058 2501 8
529 1328 2
1049 1804 12
1740 2883 9
46 1915 17
683 1678 13
1385 2163 15
2769 534 2
1394 1729 4
1185 1602 6
362 777 2
1423 952 15
2974 1582 15
2119 2672 12
19 1497 15
60 1016 13
415 218 12
2288 876 18
2920 1345 12
2796 1234 6
2105 2265 16
2624 1375 12
3 2652 12
130 899 11
1017 59 11
915 1273 13
393 553 18
1024 2884 4
2611 2345 10
154 2362 9
1149 2845 6
93 2642 5
965 28 2
1750 449 20
1972 2411 5
174 1679 5
311 2734 17
998 1720 3
670 2973 20
261 2776 18
1808 2908 19
2555 2946 20
1597 770 20
1542 1235 8
2990 1267 8
908 2242 17
2708 1840 14
2496 268 20
1257 1598 1
220 2666 2
158 1980 6
1336 2211 16
1732 2066 16
2743 4 15
144 2117 10
2808 108 13
1442 936 5
236 128 14
93 48 5
990 1532 5
489 2425 15
2261 220 10
622 1749 5
1865 604 11
1517 1327 8
2347 1329 17
475 1463 7
118 2909 10
2772 984 1
166 1096 7
1969 2768 9
1025 2223 9
2145 1358 10
2408 1528 19
561 371 11
494 1199 5
1424 2185 11
89 2906 8
1106 708 12
86 2556 9
1405 997 16
2398 1219 2
604 1107 11
407 117 3
2137 1111 19
26 1846 16
633 1383 2
1428 2801 16
275 2242 11
1008 2588 17
2081 2453 2
52 219 5
2183 1216 4
1408 2936 11
937 368 9
453 633 9
1725 884 11
2525 1004 7
1576 19 14
2504 2345 12
1528 2564 5
2239 922 3
2263 1898 4
2232 160 7
490 268 16
1908 1360 14
52 1488 6
236 1647 10
1065 2509 5
1211 1139 18
202 1554 5
2148 627 19
1968 1939 9
1442 1758 1
2079 24 7
2183 1249 20
36 1549 15
2446 303 2
2771 2988 5
2610 2492 11
2217 279 16
2304 2831 7
2697 2260 1
388 100 11
2657 1715 6
180 2420 19
828 979 19
2574 75 11
1769 583 14
1350 1861 6
416 1708 2
416 1366 16
2257 319 5
1447 1850 2
1876 2086 14
1279 1317 15
2509 562 14
188 1293 18
1808 132 17
1050 2328 12
1084 1258 14
14 2585 17
327 1396 7
2795 2087 7
2773 1452 9
476 2269 12
1691 2008 14
506 1533 17
25 816 9
2421 2949 20
241 2810 19
2989 1202 8
1281 882 1
1890 1325 4
888 1577 19
635 2299 19
1813 1950 1
2192 1731 20
1283 2096 11
800 2543 5
286 1994 5
1076 1993 3
2503 1070 16
2098 1184 20
2504 1596 12
944 276 15
2722 2657 10
1265 1131 15
1848 1372 7
2891 1140 14
1178 1140 8
2750 1493 14
1462 1805 10
2189 1424 3
694 832 4
1737 1947 13
1640 2988 19
