5000 60000
4963 1901 4
1188 4307 12
294 182 20
1650 4427 4
842 3912 3
3943 3816 13
3435 3398 14
4476 1722 2
375 642 5
2419 4333 3
4764 4561 2
1156 4242 1
4425 2699 7
336 2166 14
3053 278 19
3699 3872 17
3006 2053 14
4385 2892 1
1195 412 7
664 3747 19
2784 2780 11
3428 2291 15
463 2490 16
4951 1013 11
68 4208 18
673 2013 16
1986 4101 3
4012 3089 10
2456 1309 15
2461 247 10
2141 4626 2
2094 1414 17
1921 834 1
4320 4735 16
3272 4658 16
127 566 17
2528 4471 2
3857 4288 5
3460 1460 19
232 1573 3
3648 1607 11
795 2211 19
1456 846 6
1858 4777 20
3766 950 11
4169 4835 4
3132 3341 20
3559 4627 15
4485 3989 15
1524 1404 18
4102 2340 6
2912 1455 19
3235 240 13
3773 304 2
3823 2561 5
3401 2342 20
3844 546 14
4014 38 14
505 930 13
2879 2445 18
1442 2303 1
1307 4080 5
528 3798 19
2482 562 9
695 2383 3
2717 2089 1
4266 1960 12
694 2515 16
2336 3899 5
4782 1593 8
92 3854 11
395 2370 8
2415 313 10
3056 4757 19
4730 199 8
4997 4425 2
1356 442 2
1768 4343 11
4202 4211 20
4534 3886 16
456 3851 14
3904 2910 6
3734 3204 11
2776 36 13
4759 2921 1
1225 115 19
4189 1921 12
3488 2814 12
3864 1982 17
1367 2681 19
2237 4539 3
1469 3737 15
4844 4312 12
2437 3831 7
2032 3104 4
4326 3436 6
1848 1730 3
4409 1908 19
1519 4252 17
1834 70 7
959 1602 13
971 2398 5
4975 2672 11
4977 1533 2
3888 546 4
2775 2896 20
4863 4058 10
1761 2247 5
952 2875 13
1665 4231 8
179 2100 6
1939 4911 4
3373 4660 9
823 3873 2
3784 4520 9
604 261 4
3328 4458 4
4194 3162 16
276 1584 8
3465 2810 14
4397 1599 14
4430 3075 15
1698 1115 19
442 1103 12
2753 1709 6
785 4935 10
1359 819 14
2287 3154 1
679 2476 20
3071 2381 19
2076 572 17
3568 228 12
4768 3808 2
1019 2469 1
3489 2894 3
1863 4849 12
1974 2967 10
4050 3648 17
3586 419 6
4273 3557 2
1085 3926 19
4545 2943 7
289 3628 19
1331 3008 12
2934 1620 3
4647 1759 8
2768 2677 14
184 1910 15
3888 103 18
356 2719 18
2992 241 18
2415 3182 15
4653 3835 13
2080 1183 8
603 167 3
305 1165 13
4629 1849 4
2816 3238 8
875 2371 12
4632 2814 9
3753 2116 18
483 1695 12
3477 1297 5
3068 2168 13
1888 1295 20
4131 2832 16
4614 628 17
3728 259 10
127 492 5
4462 1071 14
3152 1981 2
1282 793 1
4327 3230 17
532 771 3
2409 2999 18
1545 4446 12
3561 3006 8
1346 4580 15
3985 2654 8
751 460 20
781 2980 19
4420 999 5
4358 2935 13
598 933 6
3501 4004 2
3713 3129 20
4829 2867 9
2623 3869 17
1940 1768 17
465 2022 18
2087 2716 7
4366 1884 11
1579 1725 13
3953 3766 18
582 1266 20
3202 1950 17
1497 3253 2
1294 3292 2
619 2639 3
601 1455 13
4349 628 8
839 1635 11
2085 2413 20
1512 1054 3
4331 104 15
2885 575 13
4416 1593 3
2985 3092 3
4808 2336 20
2934 468 12
4416 3248 5
198 4457 14
3307 3261 10
22 3623 13
3448 1464 1
1946 4876 12
184 351 9
1382 4166 14
1204 306 19
1624 4517 2
2388 1999 7
2718 2725 12
999 994 10
1043 3865 6
2119 4418 9
3237 3503 2
3786 1456 16
2589 354 3
2378 845 9
2785 1462 7
1634 337 9
4884 3656 13
