3000 30000
1403 2835 18
131 2920 13
731 2331 19
402 2341 14
700 2373 7
547 1529 10
1236 1917 16
1215 1939 9
1 117 6
589 2720 8
1393 2249 8
231 2554 18
1 257 16
1170 2507 8
757 1528 15
1473 1751 1
1328 1520 15
1483 2880 7
156 2975 9
356 2864 3
1408 2742 4
1263 2208 17
833 1956 3
73 1839 5
1 805 6
831 2775 14
1004 2025 11
1456 1541 6
544 2904 17
187 2648 16
934 2148 3
1 462 17
1486 2242 17
575 2903 9
340 2018 13
1004 2620 12
271 2932 9
104 1926 2
1099 1811 11
466 2741 19
593 2139 3
939 2422 8
1200 1716 5
78 2638 16
663 1638 1
372 1591 18
550 2582 1
1 1005 13
1177 2336 10
1215 2903 11
1143 2755 18
923 2222 8
603 2727 16
593 1569 8
1045 2800 19
683 2428 13
1255 2483 13
1358 2613 8
1721 3000 19
1064 1743 14
1 773 13
569 1882 8
811 2379 9
2461 3000 17
1230 2622 17
405 2457 10
1499 1969 4
559 2624 18
1447 2086 17
101 2428 13
43 2261 5
1 465 18
807 1528 3
1305 1537 16
728 2416 20
1 1100 7
144 2015 15
1423 2346 12
993 2293 2
862 2656 17
869 2098 1
7 1797 18
1423 2381 6
234 1988 14
360 2892 15
500 1923 5
892 2481 4
343 2116 19
994 1861 2
1119 2265 2
250 2031 20
1119 2504 18
1480 2347 20
929 2526 20
203 1651 3
1151 1529 14
1266 1573 4
200 2291 18
742 2887 7
482 1919 10
187 1632 17
560 1989 18
1426 2198 7
1329 2305 8
649 2179 2
722 2308 6
180 1980 17
599 1768 1
691 2898 5
1094 2229 2
1038 2713 16
1363 1933 4
596 1976 6
2398 3000 15
964 2089 2
985 2626 3
694 2644 5
776 1963 19
783 2163 9
471 1981 5
382 2596 1
564 1606 19
996 1686 18
414 2459 8
248 2886 1
1264 2154 5
783 2892 10
1 153 14
317 1938 9
74 1833 13
1227 2711 9
2038 3000 9
1261 2812 10
604 1991 17
1105 2485 19
1349 2029 9
362 2496 11
943 1624 11
1348 2666 10
473 2149 7
952 2189 12
938 1590 1
761 2929 4
1465 2772 10
1348 1845 19
996 2859 9
116 1835 1
1 1034 5
186 2424 9
614 1762 12
979 2905 4
413 2376 19
1235 2073 14
1273 1596 6
340 2648 6
1497 2392 7
186 2588 9
133 2268 17
56 2138 19
877 1772 14
97 2311 10
1170 2633 13
1436 2043 4
733 2910 13
736 1810 13
591 2809 17
1060 2664 13
582 1603 17
630 1556 14
1402 1896 8
397 1682 19
545 1845 10
679 2009 12
397 2678 14
1460 1546 15
789 2800 1
895 2711 11
1 1019 16
1233 2269 6
683 1830 11
2388 3000 6
2788 3000 20
861 2798 10
1306 1770 13
125 2548 7
632 2994 15
247 2729 18
975 2528 15
1 1433 6
1435 2290 5
1015 2900 6
559 2946 16
696 2407 7
203 1517 1
1066 2249 9
406 2091 15
1849 3000 19
1456 2618 17
654 2120 11
1495 1645 7
158 2604 9
683 2769 7
229 1914 17
990 2188 16
908 2345 2
1111 1787 5
1095 2194 10
494 1588 4
404 2455 5
19 2645 13
1 1382 17
117 2654 12
1319 2948 10
79 1988 5
859 1513 5
665 2519 7
358 1882 7
303 2900 16
46 1718 20
231 2053 8
1346 2942 17
1537 3000 5
1480 2710 19
681 1881 18
881 2353 17
613 2467 5
459 2277 13
50 1579 4
920 2989 4
916 1782 13
922 2800 18
38 2527 4
1107 2476 6
447 2585 3
1266 2065 9
622 2386 16
905 2747 7
235 1763 8
782 2469 2
623 1942 6
1312 2027 11
204 2096 17
301 1727 16
1341 1761 17
523 2467 7
965 2143 10
340 1966 14
1 428 8
673 2820 8
249 2829 20
317 2609 3
991 1823 2
891 2592 13
29 2634 5
1413 2498 12
802 1860 9
1050 2904 20
1127 2998 8
41 2094 15
721 2692 16
981 2827 12
192 2888 12
130 1951 14
365 2575 10
1020 2029 14
2826 3000 3
1379 1787 4
138 2401 4
73 2756 2
1490 2355 9
736 2060 1
739 2989 17
2896 3000 17
216 2950 14
1100 1905 12
1283 2609 11
773 2483 13
1134 2285 14
1313 1771 7
9 2592 20
1371 1705 9
1879 3000 12
1068 2053 12
744 1707 17
1328 2922 3
1138 2677 14
1452 1737 19
870 2966 3
946 2165 17
392 1579 11
1347 1965 4
593 1542 15
1169 1970 16
521 2495 3
627 2178 7
94 2794 9
1197 2260 18
164 1506 7
1274 2051 5
696 2500 11
1447 2000 3
959 2439 12
2458 3000 18
943 2921 12
824 1880 6
1444 2983 4
654 1776 14
1104 2589 9
1023 1590 4
817 2414 11
1039 1860 16
1326 1732 13
748 1912 12
424 2044 19
1171 1544 6
363 2545 1
1307 2422 18
780 1876 14
528 2120 4
924 1572 16
355 2002 5
91 1698 3
1414 1702 13
708 2066 16
537 2685 5
633 2341 3
116 2859 1
790 1537 20
81 1525 4
966 2140 8
941 2092 1
1482 2975 16
367 1917 6
732 2524 18
1 1202 20
2124 3000 9
2946 3000 5
1 940 20
525 1717 13
665 1943 10
1655 3000 9
785 2622 14
1049 2087 2
661 1646 4
2229 3000 9
921 2358 11
1270 2846 1
1345 1743 10
348 1943 1
516 2342 4
795 2405 7
432 2473 20
87 2066 10
779 2846 6
949 2228 13
2512 3000 18
244 1623 6
548 2265 5
1324 1556 14
149 2485 18
856 2155 13
1135 2352 16
531 1751 9
107 2180 5
265 2254 19
1491 2318 11
1167 1977 7
353 1693 6
282 2884 14
864 2150 9
871 1727 20
980 1843 15
143 2389 8
31 2219 18
909 2807 17
848 1945 18
1242 1528 11
1410 2923 9
1143 2948 13
794 1703 6
446 2164 17
1139 2342 6
415 2975 15
777 2145 1
961 2429 20
900 2919 12
715 1570 9
1053 1513 13
1093 2072 9
559 1727 6
292 1992 15
1406 2771 4
648 2342 11
925 2922 13
1472 1512 11
1082 2815 15
1267 2987 9
77 2176 5
1753 3000 5
697 2423 18
323 2027 1
980 2830 1
281 2771 15
1340 2831 2
1345 2813 7
1461 2197 12
466 2447 3
750 2888 11
112 1523 12
97 2068 12
766 2518 16
987 2384 1
646 1687 1
944 2028 19
246 1967 4
476 1746 3
1563 3000 2
631 2425 11
656 1733 16
1 665 2
631 2897 6
1031 2023 18
1299 1874 9
1072 2125 5
1223 2914 11
449 2634 14
702 1625 9
1349 2780 13
271 2716 10
1 794 8
478 2369 20
203 2813 18
1485 2837 4
264 2913 20
857 2327 12
1152 2054 14
659 2668 2
1 1068 18
1 1109 19
1403 2073 20
1 410 18
1027 1988 9
178 2882 7
1145 2851 19
116 2283 4
1435 1739 12
81 2867 18
1 824 8
525 2434 2
1184 1732 16
1294 1789 10
638 2557 1
237 2063 4
190 2756 7
1318 2893 2
1452 2422 18
1 877 19
431 1850 2
1999 3000 12
813 2999 10
258 1878 20
135 1600 15
1 1215 14
1078 1513 11
10 1605 14
1321 2318 8
1235 2107 3
658 2391 3
375 2363 16
953 2655 12
957 2026 11
791 2190 4
268 2017 1
217 2918 5
1455 2070 18
289 1873 18
988 1629 3
890 2873 8
756 2925 8
758 1646 12
743 2569 8
610 2520 17
1054 1652 16
1288 2002 1
533 2659 8
839 1963 6
552 2150 14
2357 3000 9
1432 2346 18
78 1556 13
1192 2971 7
1296 2045 17
1434 2810 8
1329 2805 14
54 2223 12
349 1852 5
2762 3000 18
1308 1907 7
787 1982 19
129 1517 10
1069 1604 17
1082 1924 7
1064 1756 12
1009 2337 20
1216 2387 19
1 291 5
454 2131 6
62 2482 3
2823 3000 4
43 2759 18
1331 1521 3
251 1902 6
1276 1881 12
490 2200 2
620 2492 19
1222 1895 20
49 2214 8
1 59 5
291 2315 9
1417 2957 4
1224 2446 9
473 1862 7
1096 1901 15
1234 2928 6
515 2273 18
1270 2262 7
41 2762 8
182 1932 20
1257 2822 16
414 1627 19
1433 1782 19
703 1758 2
296 2193 14
433 2050 5
991 2043 20
376 1695 7
1060 2533 18
530 1996 15
1101 1517 20
571 2810 2
1178 2981 8
1489 2127 12
428 2535 1
21 2271 12
841 2093 8
813 2090 12
452 1822 7
1278 1699 18
273 1584 8
941 1831 13
359 1771 2
676 2874 17
179 2322 15
1 248 11
521 1852 20
901 1885 11
37 2431 14
1177 2750 4
1367 2729 2
787 1601 6
1 1035 17
307 2227 16
40 2853 4
1251 1562 2
1471 2608 8
3 2414 13
715 2957 10
1248 1508 7
1366 1979 8
2218 3000 20
795 2197 3
442 2758 17
1138 1505 13
551 2874 12
2618 3000 7
1326 2867 7
1373 2046 4
451 2816 8
1001 1723 1
241 1845 19
1345 1944 2
1 1346 13
1369 1551 13
1309 1754 16
50 1699 5
139 1580 15
1354 2958 8
1204 2018 11
1018 2243 13
473 2811 20
264 2188 10
525 2438 17
436 2995 8
2184 3000 20
721 1774 15
518 2949 11
615 1665 1
927 2121 4
2115 3000 7
776 2947 8
986 2625 11
516 2113 11
218 1708 8
1249 2209 13
271 1771 10
261 2164 15
3 2941 14
30 2817 6
1394 1659 20
1344 1738 7
1131 2787 18
1154 2721 10
998 2936 12
1305 2915 12
815 2465 10
1330 1716 7
277 2586 17
42 2632 1
1272 2307 5
338 2859 4
44 1528 6
604 1600 15
1243 1955 3
381 2889 1
1384 1895 20
345 2337 9
1434 2988 18
1423 2775 17
415 2967 18
1279 1861 5
985 2651 13
568 2295 14
26 2731 11
1237 1737 3
36 1558 16
884 2339 18
1154 1785 15
901 1925 4
517 1595 7
1318 1693 18
320 2075 19
584 2717 16
1 434 14
175 2642 13
20 2716 6
48 1892 1
1 73 8
2434 3000 12
1209 2387 13
526 2061 2
505 2101 12
1103 2978 19
1457 2492 4
283 1572 16
956 2371 18
1077 2494 7
570 2585 6
11 1732 11
68 1726 3
701 2853 16
1235 2540 19
1015 1745 9
1396 2779 17
1 593 20
640 2732 19
37 2269 7
169 1720 18
1700 3000 16
1334 1522 14
1100 2832 4
500 1835 2
218 2773 11
1022 1876 20
498 2917 13
1466 2965 15
808 2542 7
584 2982 17
775 1817 4
994 1989 4
1500 2297 17
1269 2017 1
1427 2051 3
1244 1987 11
1213 2798 9
27 2972 8
529 2748 20
418 1894 4
449 2587 11
388 2162 13
540 1574 10
1192 1994 14
335 2776 17
236 2231 7
1377 2002 17
432 2745 11
221 2526 6
1196 2874 4
245 2471 12
727 2151 19
407 2580 5
1294 2860 19
1122 2227 6
29 1787 3
27 2356 18
702 2744 8
1138 2632 7
231 2525 7
560 2853 7
625 2125 4
1342 2953 7
650 2372 15
628 2098 10
1348 1634 17
1058 2448 14
564 2737 2
1568 3000 1
1078 1524 13
1422 2526 4
640 1634 15
473 1624 3
873 2941 6
1404 1542 9
1484 2624 18
439 2358 11
62 2531 5
1129 1928 2
1 946 2
1101 1750 5
665 2172 7
341 2501 2
1105 2107 11
1 32 12
1017 1870 17
834 1829 9
316 2034 11
150 2198 4
1290 2605 20
1206 2449 6
607 1755 9
520 2355 11
928 2426 19
378 2650 15
180 2828 11
1315 1668 15
1425 1888 11
681 2093 12
544 2562 17
46 2740 4
743 2971 16
1102 2729 6
820 1883 4
535 2224 1
1150 2211 8
1349 1920 17
97 2031 2
1230 2546 2
1 971 8
1141 2968 4
1 709 8
430 1707 17
717 1882 15
822 2487 4
789 2898 3
1 744 2
291 1812 6
1307 2233 16
1302 1593 11
18 2633 19
1045 2504 14
599 1802 20
475 2306 20
1338 1720 12
302 1985 12
1396 1941 20
608 2443 16
1 93 18
2732 3000 4
1 827 13
761 2868 2
75 1607 8
1 903 8
784 1980 3
177 2141 12
773 2741 2
1967 3000 16
368 2113 20
1091 1930 12
428 1782 8
1040 2110 20
1 1195 8
557 2734 10
1 933 8
372 2597 10
947 2800 17
353 2950 20
1 1190 14
40 2769 12
227 2880 20
773 2824 13
1139 2292 5
702 1573 10
993 2214 8
338 1606 9
796 2636 15
19 2623 17
731 2367 7
410 1930 3
341 1789 10
533 2942 3
297 1697 13
1422 1664 17
746 1876 18
1326 2684 9
1638 3000 13
157 2981 7
289 2833 9
50 2174 7
213 2812 4
151 2278 13
520 2092 3
487 2066 1
669 1573 14
506 1732 8
880 2467 9
1324 1836 8
1195 2395 13
973 1870 8
1 370 5
1312 1527 13
1224 2023 14
1414 2305 13
622 2562 8
1309 2300 19
610 2514 13
321 2820 4
950 1627 2
511 2443 14
1126 2371 16
984 2229 19
994 2973 16
1470 1950 5
1396 2627 3
491 2634 18
1 138 5
592 1939 17
318 2499 15
1268 2636 12
151 2851 9
596 1957 12
37 1867 3
1 529 11
300 1672 4
1360 2163 16
1 471 6
235 2931 7
329 1861 15
69 1767 20
1 209 6
324 2450 11
1219 2713 11
1182 1784 8
69 2501 15
664 2327 5
442 2601 7
859 2590 20
1122 2459 6
110 2156 16
440 2103 2
962 1602 3
218 2873 2
720 2311 19
136 1911 3
876 2650 20
556 2566 16
1236 2902 17
1 1364 7
588 2530 18
925 1839 2
1230 2118 10
348 2100 18
1440 1516 20
1003 2860 7
1060 2131 14
1290 1577 9
877 2428 1
138 2085 18
772 1934 1
1 748 17
1 352 17
1 1185 18
340 2688 3
1202 2920 10
311 2768 11
2894 3000 10
508 1945 10
327 2916 3
965 1577 10
1286 1852 20
306 1919 17
638 2936 1
950 2856 5
1303 2954 10
582 2359 19
814 2794 20
59 1696 10
492 1780 4
2208 3000 6
1290 2808 5
961 2334 1
686 2307 4
1413 1647 1
889 2822 13
1038 1871 14
548 1951 12
1617 3000 6
1183 2079 16
766 1746 1
616 1667 10
509 2504 11
164 2961 12
621 2552 11
1 1455 13
1082 2126 11
347 2926 4
267 2666 16
1182 1631 10
343 2581 8
1326 2785 8
946 2386 20
1435 2464 2
249 2533 15
949 2195 16
1487 2464 15
527 2295 2
1209 2704 17
321 2058 2
5 2633 10
527 2231 17
321 2338 19
1070 2569 1
699 2566 20
671 1507 8
1396 2447 6
1215 2124 13
1540 3000 12
1344 2336 13
1180 2941 6
1280 2504 10
1486 2554 5
1154 2137 16
567 2224 9
280 1653 11
150 1734 10
1400 1947 11
1014 2721 9
802 1705 20
814 1532 16
1093 1689 7
1 629 4
1001 2377 19
561 2554 20
13 2501 4
239 1843 5
641 2755 14
1354 2773 15
123 2564 16
1251 1699 9
1466 2197 9
1248 2344 15
21 2933 1
392 1679 6
819 1765 20
1410 2582 17
1406 2476 7
65 2147 18
1482 1972 15
179 1947 8
452 1721 10
48 1890 12
756 1605 3
604 2293 12
1482 2881 11
135 2910 11
1374 2881 16
1271 2762 12
1235 2607 9
774 2712 15
1 147 14
1436 1912 13
128 1509 1
823 2874 11
32 1627 16
867 2489 19
1225 2073 4
413 2037 18
457 2112 11
461 2223 12
1104 2381 9
1480 1638 10
1099 1875 4
16 1689 16
1008 1770 20
1 515 9
331 2817 7
19 2157 1
652 2626 14
339 2807 12
1249 1599 5
553 1711 10
1350 1662 10
529 2343 15
776 2256 11
347 2115 6
1062 1728 13
1269 1543 17
1269 1677 17
1347 2948 12
1132 2659 7
1204 1771 4
705 2696 13
788 2095 17
505 2783 8
1081 1667 3
2752 3000 13
530 2645 10
670 2696 6
201 1996 5
796 2842 1
1407 2303 14
210 2014 16
440 2230 16
493 2427 18
1299 2734 13
1861 3000 4
1326 2913 6
932 1915 7
1310 2917 4
1 1141 16
1002 2846 1
463 1815 1
46 2420 3
992 1636 6
172 1815 10
1492 2575 18
1432 2416 15
670 2581 2
1041 1723 7
1300 2098 15
388 2965 20
474 1533 13
1169 2699 19
698 1949 18
1137 1536 13
1364 1645 7
1455 2812 17
662 2366 16
864 2374 16
1297 2324 10
985 2672 6
1215 2154 11
1427 2314 15
278 2939 15
350 1729 18
451 2963 8
933 2265 19
875 2494 11
1182 2070 4
1227 2016 1
119 2319 13
1915 3000 7
775 2885 12
215 2155 3
2228 3000 1
871 2383 7
628 2715 12
141 1573 9
470 1657 13
507 2266 11
572 2907 8
1039 2957 14
1416 1903 5
1411 2878 10
761 2450 1
959 2388 1
1170 2106 20
879 2461 17
1182 1868 4
333 2668 14
1260 2778 20
1 8 18
1186 1851 5
1250 1987 9
859 2016 16
1115 2856 8
1114 2718 13
1156 1915 5
607 2972 6
2069 3000 9
660 2073 18
1301 2024 1
781 2278 9
954 2186 6
810 2927 5
743 1571 1
1109 1787 17
643 2778 2
757 2346 13
1367 2426 10
1 714 8
287 2108 12
548 1595 3
1376 2216 15
978 1811 7
166 2701 1
976 2589 17
303 1836 7
1 767 19
139 1537 1
279 2282 7
1369 2989 9
418 2848 17
1008 2395 19
1 1181 9
1234 2343 4
439 1584 3
1174 2976 1
460 1859 4
1202 2893 17
1003 2001 19
233 1651 4
1064 2536 6
1271 2713 16
1337 2176 8
32 2661 11
1391 2115 5
1169 2348 6
668 2624 9
1467 2608 5
83 1648 8
2100 3000 7
1482 2524 20
1282 2588 1
2092 3000 17
581 1558 15
660 2903 20
884 1898 9
181 1973 18
1189 2253 12
2123 3000 9
1393 1554 6
1102 2043 3
997 2038 9
2597 3000 4
836 1975 12
1412 2211 17
669 2659 10
1062 1987 12
1083 2920 13
1350 1840 20
101 2774 16
754 2050 9
362 1870 17
1131 2873 10
244 1533 16
1357 1812 4
941 2161 17
1337 2149 9
218 2233 20
2006 3000 4
1107 2544 14
485 2754 17
76 2814 14
533 2708 14
689 2131 6
286 2538 9
1490 1530 16
381 1723 8
877 2754 14
905 2670 11
2993 3000 3
629 1688 19
901 2775 15
2285 3000 1
319 2990 11
524 2820 9
328 1626 10
915 2045 6
880 2891 20
996 1949 10
1 83 5
90 1782 20
395 2696 14
209 2922 5
1051 2965 19
516 2441 20
744 1506 9
168 2960 9
973 2108 14
947 2323 3
978 1513 5
1114 2485 5
1429 2640 15
459 2576 7
1013 2463 12
305 1990 15
369 1864 19
336 1838 17
746 2425 20
451 2139 16
606 2974 19
1130 2831 12
115 2787 13
1368 2389 2
789 1639 6
16 1696 8
992 2876 11
1008 1870 11
1292 2749 9
118 2230 12
597 2573 18
1328 2420 16
498 2805 20
845 1780 4
878 2406 1
1 1047 7
1345 2998 6
946 2496 4
238 2460 8
1 686 1
2031 3000 2
220 2910 12
539 2971 1
78 2547 16
1117 1935 17
1037 2905 19
1288 2726 10
154 2107 9
127 2866 14
925 1913 8
1 419 7
1420 2287 10
1023 1863 13
992 2715 12
1161 2628 4
1910 3000 12
1 891 2
1434 1610 6
510 2522 15
1448 2040 16
1 472 18
1303 2910 11
140 1876 20
2093 3000 16
162 2564 15
1026 2419 3
1278 1918 4
141 2365 9
1 764 18
286 2141 1
1225 2829 2
172 2311 1
240 1929 9
1303 2241 10
279 2634 5
1265 2804 4
1168 2189 20
1 1050 8
888 1597 13
1239 1639 8
2772 3000 16
839 1878 10
449 2710 19
938 2125 10
920 2516 9
1472 2808 8
271 2588 20
982 2036 12
901 2606 19
884 2081 13
986 2731 13
1302 2284 16
901 2321 8
1463 1789 19
478 1512 5
1236 1877 13
251 2656 15
948 1564 20
464 1805 19
1031 2776 19
1103 2801 3
2047 3000 14
1122 1727 8
240 1669 4
957 2194 6
204 2387 14
739 1775 11
1046 2546 11
1495 2160 4
924 1883 20
1403 2890 6
30 2440 12
1147 2429 10
1103 2056 7
1304 2183 2
184 2204 13
888 2467 3
29 2412 6
982 1968 12
908 2907 10
682 2371 10
1096 2894 13
809 2719 15
524 2577 13
114 2124 10
1018 2002 14
124 2688 15
2217 3000 12
260 2412 2
1449 2024 4
1429 1883 7
811 2065 20
1408 1684 1
693 1808 5
33 2174 11
66 1635 12
677 2092 20
