10000 120000
5292 10000 7
4420 5236 1
1808 9326 3
1791 9296 3
2289 6909 3
192 8409 7
750 7108 17
4311 6157 2
1695 9914 15
3297 8939 14
3651 7259 19
2459 9421 18
260 8825 6
181 6362 16
4220 6740 15
4798 8209 20
2488 9371 13
2114 6300 6
4528 6753 13
4555 6390 8
2935 8777 3
220 7842 8
3193 9656 15
1 245 6
2980 5512 3
4942 5907 11
3310 7372 9
1633 5255 19
1 2256 16
1882 7007 17
1929 8897 14
1882 7741 12
3471 7040 6
434 8278 8
1570 7297 8
2437 5389 5
3897 8095 6
4009 6347 15
3939 5661 17
774 5765 7
3586 5475 16
2929 6595 18
3888 7955 5
828 7237 6
3167 5927 18
2384 5216 12
2096 7682 6
2479 6277 2
2071 7273 20
2858 8415 5
1931 5171 13
2592 7536 3
1074 9327 7
468 9870 7
1 2461 17
2671 7186 12
2422 5701 5
4382 7381 6
1394 5430 15
4687 6086 5
2863 6002 10
4781 8565 5
3263 6363 3
2345 9715 3
3453 5619 16
2134 7644 18
1896 9414 8
2075 6837 10
3944 9484 14
3435 7864 11
1330 7667 13
2254 5431 8
4649 7548 4
2295 8920 12
6663 10000 3
3757 9385 16
1 2794 18
4674 8704 11
3152 8610 4
4665 6757 9
2768 8542 7
1260 9544 6
1864 5191 6
900 6810 10
574 8605 6
4818 7939 1
2667 5106 11
2851 7021 11
735 9584 12
4351 7919 16
3701 7135 19
1470 5492 3
3704 6903 3
1130 5890 8
3573 8484 1
4666 5195 14
1 568 12
1 4117 4
1403 5081 5
4934 6613 1
653 9327 5
4457 7025 6
2133 8281 9
3236 6780 17
5255 10000 2
1305 7503 13
2294 5473 20
2180 8300 6
3742 7995 10
3356 6182 17
1302 6750 17
4092 5772 4
3483 7539 13
4998 6475 4
2644 6111 15
3284 5265 14
3365 9859 9
1428 8708 4
4609 9252 9
2124 5048 7
2009 7137 3
4845 9682 15
4162 7014 18
1 1408 2
3551 9949 18
9608 10000 14
2194 6715 12
831 9940 14
3092 5570 20
1694 7263 10
687 5215 10
1943 9086 12
1840 8168 1
1498 9513 17
362 6729 17
3616 7256 9
6586 10000 6
1 4614 5
164 7828 13
5295 10000 10
18 7796 8
2488 8571 16
1091 7378 9
2096 6211 13
1009 6678 10
4273 9395 15
3388 7819 10
4636 5487 8
4609 5809 12
2392 9853 8
688 9754 7
4847 6044 8
1133 8960 16
3616 7688 16
3408 6102 20
984 6945 14
1828 8016 6
833 8604 19
70 9510 10
648 6556 15
1908 7157 20
2224 7847 14
1 1666 14
3789 7276 8
4289 6238 4
1 4778 5
451 8242 6
1796 9714 1
1780 9725 6
3566 6951 3
1854 9386 3
1889 6892 4
1074 7752 14
4578 5251 2
2084 6356 12
1396 6883 13
749 9621 20
3438 8418 8
1904 7839 5
4808 5205 2
197 5792 9
1478 9611 12
3055 9921 2
3462 7627 3
861 5998 8
3785 8197 9
3105 7203 8
3950 6594 9
4338 5848 16
4474 8544 14
2949 6503 1
3946 9176 15
3115 5849 2
4607 7434 19
1127 7529 16
4998 7515 1
558 9795 8
6888 10000 5
4856 6954 20
4588 9580 4
3745 5174 10
4051 7561 5
2247 6803 10
4425 9280 2
3027 9476 11
3969 9064 12
4701 9044 14
808 6739 2
2526 5153 6
1135 5456 6
3599 5172 8
3469 7275 15
4223 8689 8
9853 10000 11
3778 8720 13
1 2163 15
1417 5323 14
2692 7687 11
4805 5181 7
4012 5300 7
8336 10000 14
4043 5182 3
4727 6469 19
3481 7533 5
2296 8265 2
907 7860 7
129 7568 7
403 8402 20
4153 7257 14
4491 9892 6
2350 9737 1
1929 9439 2
9497 10000 1
4560 9345 8
2094 9410 5
4990 9899 7
960 7737 4
4973 6192 15
371 8631 9
6054 10000 4
1062 5596 18
503 7645 19
1 275 4
3325 8967 14
2985 6468 3
2075 6889 13
2969 9089 13
4239 8627 14
3953 7274 11
1 2269 10
2428 7285 9
1002 5851 5
4555 5978 11
2778 5301 19
2706 9657 1
1894 7674 1
3931 8691 11
4251 6152 9
4712 9824 1
2390 9271 8
693 8491 9
4892 8551 3
4007 8123 4
1292 6168 3
1900 9269 17
2923 9034 2
1284 8545 20
2237 7658 1
3782 6886 4
9124 10000 10
407 6754 16
3120 7238 20
3282 7236 17
2766 9816 1
695 7441 14
2963 5898 13
7533 10000 5
4255 7144 4
2554 5083 8
138 7896 14
2829 6072 6
3980 9110 13
4395 7994 7
1676 8946 8
4851 7447 11
1518 5475 19
2805 5481 10
984 5527 5
2289 7035 8
4251 9271 16
6825 10000 3
1186 7983 16
1789 8807 7
3904 9434 10
3510 6162 12
2290 9791 15
110 8931 14
493 9740 15
1038 6562 3
1253 9240 14
3397 7147 13
616 5030 19
3446 7029 10
1169 7458 10
3898 9587 1
601 6349 15
4260 7219 5
736 5591 5
2392 7667 19
2342 7174 16
3582 9434 6
3904 7645 5
2108 8694 1
2862 8652 14
1352 9043 3
226 7383 18
1934 7646 7
3626 5471 1
440 7393 2
9977 10000 7
3244 7189 1
4638 8800 2
1006 9717 8
184 9321 12
4187 7289 2
4754 8394 2
1973 7192 11
474 8945 16
2301 7341 15
6291 10000 11
5991 10000 2
1714 6834 4
2051 5117 2
1 931 11
1157 7587 14
93 8780 3
4923 7527 4
4148 6538 11
3330 8328 11
1 3886 18
1406 6396 15
3837 8546 13
3998 7876 15
1 2925 17
4760 6434 13
2888 7965 6
1147 9489 10
4110 7225 14
7278 10000 10
2540 5110 4
3962 8058 18
2967 5237 19
4578 9680 1
2789 6035 20
711 5283 20
410 7924 3
2623 5803 13
1360 8580 9
4773 9384 14
3389 6909 13
3721 9244 13
4799 5614 20
1186 6254 11
1906 6775 3
2517 5496 14
3122 8106 2
1898 9112 8
987 8299 3
4594 6115 10
1101 5885 7
3791 5280 5
3892 7995 5
172 5067 1
4241 5895 15
4221 6132 14
4006 5506 14
1024 9899 5
1681 7194 14
3999 6302 19
529 7783 12
1478 9267 15
3786 8324 11
4788 9429 5
2144 5624 7
2267 6380 14
517 8411 7
5562 10000 10
4785 5079 3
1440 8549 3
4957 6509 7
4646 9444 16
481 5645 10
2854 7190 10
1 2203 8
4681 7638 20
3750 8320 9
2100 8323 7
9253 10000 12
2747 9332 7
6062 10000 2
633 8343 2
6944 10000 1
3529 5633 14
3175 5694 8
4459 6670 1
3243 9968 13
382 7206 11
1668 5155 7
2996 7420 12
1695 8371 15
54 5092 1
2465 7403 14
1894 6391 8
3128 6607 7
4845 7587 8
2613 5486 19
1608 7124 10
1026 8196 10
2475 8567 14
3224 6438 6
868 6222 2
3321 9805 2
3838 7073 18
4982 7037 14
3099 5709 10
1 4320 13
4692 8492 7
3617 6634 3
1 1546 17
3271 5618 3
6641 10000 8
2240 8498 15
4086 6414 4
2475 8719 4
8806 10000 13
1383 9018 18
3842 8390 9
163 7290 7
1 2700 9
2976 5344 9
4936 9121 13
1168 5553 10
3007 9964 4
8919 10000 3
3343 5324 1
151 5168 17
4952 5341 17
60 7353 3
4557 7287 11
1 95 7
850 7442 8
1137 8013 6
2714 6068 9
139 8174 8
3941 8987 14
6516 10000 13
882 6969 9
4665 9828 2
3962 7053 20
3576 9342 3
3345 8300 17
1705 7439 15
2969 7108 1
1233 9202 6
4498 8124 13
1496 9310 8
1277 9149 18
4270 7317 14
860 5646 7
4562 8167 11
918 6151 10
1 2084 19
3557 9648 18
4424 8177 16
1084 7199 14
4631 8523 9
2620 5916 16
6599 10000 18
1325 5630 18
2526 7843 12
994 8975 11
1700 7737 6
1643 6707 18
1 2632 9
1988 5213 7
3006 6512 18
4635 7988 20
1605 6682 7
143 9458 3
4138 9062 8
4002 7729 2
256 8188 18
2597 6868 9
3455 6965 3
275 9905 9
3953 7195 15
1037 6249 2
2324 8831 4
1507 6196 1
1313 6410 3
2299 8124 8
4793 9233 3
4393 6098 14
1 249 19
3821 5478 13
2697 8867 11
2310 7282 2
6369 10000 2
4001 6921 6
3488 8174 11
1669 9132 1
4905 5680 6
4810 6303 2
2930 8555 1
3211 6249 7
846 7899 9
1675 7335 9
1781 7421 20
3992 6747 11
3871 7818 2
2993 6833 14
1204 9931 5
3319 9141 13
4073 7186 6
1396 8747 3
3609 7692 11
2091 5128 3
3184 7924 7
4404 5910 14
1046 7106 3
822 8776 3
793 7865 7
1 3129 10
2001 7225 5
4976 9910 6
3987 6294 17
2209 7814 9
1 355 14
5348 10000 3
3873 9442 8
3551 9915 9
1 3863 5
3360 5427 14
2426 7209 3
4851 6844 15
3915 6484 19
2489 7428 11
1028 6449 2
1001 9026 12
1257 6538 11
4369 9879 10
1 4242 1
1366 9009 18
3580 7924 9
2974 8334 9
1 3479 15
1995 7753 20
2515 7504 3
1268 9054 19
2378 7647 12
3721 7408 5
2456 5275 9
3953 7902 11
6618 10000 14
586 7486 18
4752 9139 11
2389 9520 8
2720 9369 8
9144 10000 5
1391 5450 7
535 5933 4
2470 9366 7
2875 6597 14
6731 10000 4
1130 6558 1
3330 5538 18
3037 6835 16
1 3684 16
1292 7076 20
2032 9207 2
3986 6436 2
8427 10000 9
6501 10000 9
767 7936 1
9636 10000 7
244 6307 18
3336 5093 3
1538 9701 12
2318 5053 14
2253 6201 1
2070 8078 4
2961 7927 2
1700 5730 6
2289 5232 1
254 8304 19
1142 9882 14
1336 6102 16
1807 5534 1
2443 7451 20
4424 6759 7
2934 5854 6
4252 5172 19
1902 9720 8
6993 10000 11
1 1400 5
2104 8628 16
2472 5727 11
1128 8403 7
4628 8508 12
523 6691 5
3725 7754 7
594 9195 6
2984 9867 10
3565 8861 10
333 9405 14
2423 8824 5
2214 7542 6
2233 8921 2
2104 8780 6
4804 7311 4
434 7562 7
781 5605 11
1 1791 11
2711 9015 8
4143 5755 4
4169 6502 16
781 8758 3
3399 6985 2
4083 8709 19
2039 8413 19
4971 9850 13
4050 6066 5
5885 10000 19
4855 8216 12
4252 5377 20
2046 7989 3
1285 8526 10
824 7932 15
1122 7153 2
4637 8194 17
3641 5531 17
4984 9203 8
2788 9536 12
857 6314 16
286 9247 2
3641 9418 4
1804 5563 17
2917 9153 8
4697 9407 6
4754 8737 18
865 9019 12
7759 10000 15
