5000 60000
1551 2537 5
327 3147 11
90 2980 1
2026 4068 6
841 3868 4
1 687 1
1823 2831 12
757 4534 11
1050 2714 2
630 3230 15
2373 2811 11
708 4990 9
101 3788 17
2389 4660 12
1060 4711 3
1192 3130 9
759 2743 14
699 3779 18
1 41 11
1602 3717 12
1156 3411 18
877 3348 15
1355 3943 7
2432 3694 14
1370 3736 2
1926 4460 7
1345 2592 5
609 2781 19
56 4390 10
254 3665 19
2179 3316 13
1927 2861 2
1203 4147 20
234 3167 7
272 4829 9
1469 4781 12
1334 3622 11
2039 3965 18
4475 5000 4
2370 4604 2
2489 4154 7
541 3613 11
776 3303 11
1109 4856 6
2455 3594 10
3184 5000 8
3 4258 18
219 3141 12
807 2889 13
610 3706 20
1875 3263 5
302 3695 11
960 2556 20
387 4402 10
1648 3189 5
2228 3723 16
2567 5000 11
224 3466 3
1566 4844 18
147 3069 14
1849 4173 4
634 3354 5
1859 3484 5
2152 4280 19
1260 3086 2
243 4747 20
1222 4437 12
1726 3435 14
139 3336 15
1575 4797 17
1415 3986 9
2462 4319 6
544 2939 11
2035 4659 13
840 3241 9
2106 4767 1
2371 4884 2
1512 4258 4
388 4628 10
1808 4922 8
2239 4875 16
801 4553 3
86 2924 6
495 2737 9
1839 3937 9
935 4519 20
1415 4039 20
1235 3033 1
1771 3369 10
1633 4871 5
1823 4057 14
635 4991 6
1028 2565 18
2083 4828 15
790 3240 7
1738 3688 10
4976 5000 3
1907 3269 17
2292 2776 8
1073 3186 5
2288 4139 4
845 2600 5
714 3540 20
1692 3418 13
1413 3622 1
1814 2660 18
568 3030 13
1853 4438 20
535 2608 11
1975 2665 10
1974 4736 10
1460 2738 2
665 3361 13
1 382 7
2126 3855 7
1572 4068 8
2098 4214 17
1123 3767 13
142 4878 15
425 3001 17
1591 4987 19
516 4551 1
1040 2852 8
870 3133 6
933 3789 15
658 4233 13
1 394 17
2439 4322 5
527 4042 17
2203 3002 20
894 4634 17
1766 3849 12
1812 4528 8
4325 5000 9
1156 2563 4
778 3613 18
1488 2882 14
2215 4734 7
1258 2701 8
719 3207 1
225 4598 3
649 3873 13
1539 3851 7
806 4163 4
1035 4352 19
2111 4938 12
1393 4239 5
698 3370 20
1243 2902 19
616 4226 7
1242 3125 3
1669 4044 18
1053 3261 16
2072 2642 20
1376 2829 20
1781 3830 18
2063 4280 20
2358 4927 3
96 2796 2
1817 2925 3
2310 3307 10
354 4374 15
1187 4219 7
448 2581 19
79 4381 12
914 3063 4
1042 3984 18
1331 3093 18
381 3813 6
1264 3853 10
569 2821 4
2434 4202 12
2072 3755 11
2062 4619 11
1411 4973 7
290 2997 17
1351 4028 4
1127 4771 15
2162 4182 15
1477 3381 10
1822 4318 20
1985 4164 17
705 3076 10
1976 4543 6
648 3543 3
609 4749 11
1558 3354 2
1267 3937 5
1967 3669 10
1 833 13
1239 4330 9
2434 4593 18
2074 2878 1
227 2919 19
292 3863 17
1012 4122 9
957 4703 17
3361 5000 18
4183 5000 14
3822 5000 9
1085 3820 12
1252 4569 10
801 2960 20
1934 2642 19
2210 4527 18
2498 4537 10
1280 4422 11
1095 3073 8
1 1358 19
2190 3767 6
543 4075 14
3292 5000 5
1602 3716 4
1027 4551 20
1244 4907 15
1212 4985 14
479 4901 11
1606 4002 6
695 3522 5
453 3660 20
2491 2676 15
1852 3515 7
4166 5000 14
1369 4355 5
45 3461 12
388 3525 12
2151 4991 4
763 2644 18
194 2906 13
2575 5000 9
