1000 10000
103 604 2
185 665 14
315 546 19
370 603 2
432 774 9
18 521 2
423 529 10
428 511 15
355 923 1
227 864 18
213 736 2
129 822 16
444 521 12
133 933 17
265 505 2
420 805 14
96 620 17
169 789 13
47 668 16
101 928 18
1 41 11
6 665 8
347 779 3
188 607 6
168 825 3
225 779 3
1 254 11
1 455 1
424 870 20
89 901 18
228 541 11
914 1000 17
395 632 9
383 661 5
18 722 5
75 590 2
832 1000 19
1 409 6
492 620 16
1 166 19
180 732 1
406 752 4
1 284 11
358 768 20
127 933 8
427 851 8
152 918 19
391 653 19
358 668 18
60 908 19
30 596 5
46 866 6
108 822 1
96 772 20
293 838 7
454 597 7
330 684 8
301 766 2
46 699 14
373 797 3
325 676 14
480 940 16
460 874 14
139 966 1
135 679 3
1 52 11
221 660 16
447 853 4
1 473 4
329 646 12
38 781 6
151 866 17
326 548 11
301 956 18
139 700 3
466 515 13
749 1000 3
220 877 17
645 1000 13
188 830 10
175 650 7
252 864 3
350 872 13
79 748 13
475 821 19
389 591 1
244 578 13
323 504 7
241 649 13
628 1000 13
256 539 9
446 814 1
1 169 20
271 594 4
751 1000 10
370 640 14
851 1000 15
98 863 4
474 691 6
223 675 5
170 623 13
406 987 18
42 623 17
276 664 14
160 833 18
81 704 11
474 603 14
814 1000 14
94 646 18
141 618 4
53 576 20
451 965 20
466 701 14
191 835 15
291 532 19
498 844 18
471 804 16
380 649 2
404 699 1
939 1000 15
112 737 1
24 561 17
276 652 17
378 760 18
68 770 10
69 510 19
482 924 11
106 992 13
175 834 19
223 929 19
207 754 15
141 609 12
118 956 14
372 960 2
254 929 7
142 884 12
328 534 15
48 996 8
70 770 17
433 815 5
441 595 15
765 1000 15
150 771 10
363 520 9
194 520 18
185 605 18
226 518 14
473 573 13
315 559 13
10 593 7
1 241 6
530 1000 4
108 626 10
290 689 12
245 816 5
243 969 18
128 923 5
3 651 19
400 662 19
186 851 20
399 683 17
456 677 9
460 519 3
133 722 10
37 986 19
51 563 19
43 767 1
179 828 20
31 680 14
19 792 8
233 843 12
134 875 20
253 679 3
399 710 12
419 514 14
1 221 10
355 716 5
1 441 13
109 902 12
340 667 20
836 1000 15
226 712 14
399 747 15
180 531 2
1 99 20
1 38 10
116 715 7
226 925 14
957 1000 18
99 544 4
330 800 9
601 1000 4
122 852 1
234 962 7
144 949 20
177 790 13
1 126 15
59 834 13
42 501 12
209 890 20
208 892 12
1 464 10
57 678 1
120 594 8
500 790 20
265 863 20
10 675 8
175 546 5
41 557 4
268 935 5
203 682 5
107 906 2
74 720 11
123 602 8
482 596 9
131 733 16
264 740 10
418 766 11
949 1000 18
414 577 3
192 964 6
276 741 10
318 953 17
293 835 6
374 792 17
374 833 18
241 982 12
379 975 12
430 543 18
411 997 19
519 1000 19
82 532 7
208 831 15
264 687 12
104 901 20
367 964 20
357 537 20
486 772 4
300 642 7
59 986 16
398 972 11
604 1000 18
139 713 10
450 596 3
340 657 1
101 925 6
377 613 16
232 979 20
89 660 13
397 831 4
323 564 5
450 733 8
292 760 9
77 689 2
119 946 11
163 895 9
72 582 2
38 958 13
357 944 7
312 557 8
216 975 19
446 971 16
75 533 20
24 716 10
150 964 16
166 641 9
289 978 19
426 910 5
640 1000 5
374 631 18
592 1000 13
98 659 13
461 527 15
48 542 1
309 873 20
211 803 11
194 511 11
121 521 17
246 710 5
915 1000 20
705 1000 3
73 845 5
57 510 12
331 725 10
254 866 6
482 857 12
409 795 18
283 963 14
426 959 18
12 701 20
420 820 5
331 843 2
81 877 7
461 698 18
118 886 10
